7,4,6,5,6,8,4,5,6,4,5,5,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,8,6,6,7,4,6,5,6,6,3,4,4,6
0,0,0,0,0,0,0,0,0,0,3,0,0,0

9,7,8,8,8,4,6,4,8,6,3,4,3,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,8,9,9,5,5,9,7,7,9,8,5,6,9
0,0,0,0,0,0,0,0,0,0,4,0,2,0

6,4,6,5,7,3,6,3,3,6,8,6,4,5
0,0,0,0,0,0,0,0,0,0,0,3,0,0

9,5,7,9,6,2,4,9,7,7,5,9,6,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,8,7,4,6,5,7,8,3,6,5,4,6,5
0,0,0,0,0,0,0,0,0,0,0,1,0,0

15,6,2,7,7,6,7,8,5,6,6,6,7,7
0,0,0,0,0,0,0,0,0,0,0,0,0,1

20,4,9,6,5,3,7,7,6,8,8,9,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,7,7,8,5,9,9,6,10,7,8,3,5,8
0,0,0,0,0,0,0,0,0,0,1,0,0,0

4,10,6,9,5,5,8,5,6,9,7,3,4,10
1,0,0,0,0,0,0,0,0,0,1,1,0,0

