4,5,3,4,2,6,4,3,1,4,4,2,6,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,6,6,7,4,1,6,2,4,4,2,2,1,4
0,0,0,0,0,0,0,0,0,0,4,0,0,0

6,8,7,8,4,4,5,4,4,6,1,4,2,10
0,0,0,0,0,0,0,0,0,0,2,0,0,0

4,7,7,8,2,6,10,6,5,8,5,6,1,7
0,0,0,0,0,0,0,0,0,0,6,0,5,0

5,5,6,3,4,3,2,0,3,5,5,5,2,4
0,0,0,0,0,0,0,0,0,0,0,5,1,0

8,8,7,7,4,1,2,8,6,4,6,5,4,10
0,0,0,0,0,1,0,0,0,0,0,0,0,0

5,6,4,5,5,3,6,8,2,5,4,5,5,4
0,0,0,0,0,0,0,0,0,0,0,5,0,0

2,6,2,7,6,5,6,7,5,4,4,5,7,5
11,0,0,0,0,0,0,0,0,0,0,0,0,2

3,5,5,5,2,3,3,4,2,6,7,9,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,10,4,8,3,7,10,6,9,7,5,2,5,6
0,0,0,0,0,0,0,0,0,0,6,0,0,0

2,10,5,9,5,5,8,2,5,9,5,2,3,8
10,0,0,0,0,0,0,0,0,0,2,4,0,0

