8,8,9,9,9,8,9,9,9,8,8,9,8,7
1,2,1,1,1,2,1,1,1,2,1,1,2,3
1,0,0,0,0,0,0,0,0,0,1,0,0,0

7,5,8,7,9,9,8,9,8,9,7,8,6,7
3,1,2,3,1,1,2,1,1,1,2,1,1,1
0,4,0,0,0,0,0,0,1,0,1,1,3,2

8,5,9,8,9,9,9,9,6,8,9,9,9,3
1,1,1,2,1,1,1,1,4,1,1,1,1,2
1,4,0,0,0,0,0,0,0,0,0,0,0,5

6,8,6,8,9,7,6,8,8,7,9,9,9,8
1,2,3,2,1,3,4,2,2,3,1,1,1,2
3,0,1,0,0,0,0,0,0,0,0,0,0,0

2,7,5,5,7,6,7,7,6,6,4,8,5,6
1,1,2,2,1,2,1,1,2,1,2,1,2,2
4,1,0,1,0,0,0,0,0,0,2,0,1,0

5,3,9,9,8,9,9,7,9,9,9,9,9,3
2,1,1,1,1,1,1,2,1,1,1,1,1,4
3,6,0,0,1,0,0,1,0,0,0,0,0,3

0,8,6,4,2,6,6,9,6,7,5,4,5,3
2,1,2,2,5,1,2,1,1,1,2,3,1,2
6,1,0,1,0,0,0,0,0,0,0,0,0,2

0,1,6,4,6,6,4,6,7,5,5,5,5,6
2,1,1,3,2,1,3,2,1,2,2,1,2,2
5,4,0,0,0,0,0,0,0,0,0,1,0,0

0,8,6,8,9,9,9,9,9,9,9,5,9,9
2,1,3,2,1,1,1,1,1,1,1,1,1,1
8,1,1,0,0,0,0,0,0,0,0,4,0,0

9,9,8,7,9,8,9,7,9,7,8,9,9,5
1,1,1,3,1,1,1,1,1,3,1,1,1,1
0,0,1,0,0,1,0,2,0,0,1,0,0,4

6,3,6,7,9,8,7,9,5,6,8,7,9,5
1,1,3,3,1,1,2,1,4,3,1,1,1,1
2,6,1,0,0,0,1,0,0,0,0,2,0,4

