9,6,9,9,9,7,8,9,9,8,7,8,4,8
1,4,1,1,1,3,2,1,1,2,1,2,1,2
0,0,0,0,0,0,0,0,0,0,2,0,5,0

9,4,8,5,9,9,5,8,7,9,7,9,5,7
1,1,2,5,1,1,5,1,1,1,1,1,1,1
0,5,0,0,0,0,0,1,2,0,2,0,4,2

8,2,7,5,6,9,8,9,7,8,9,9,9,1
1,5,3,5,1,1,2,1,3,1,1,1,1,1
1,3,0,0,3,0,0,0,0,0,0,0,0,8

5,6,6,5,9,6,5,8,7,7,4,8,9,6
1,4,4,5,1,4,5,2,2,3,1,2,1,2
4,0,0,0,0,0,0,0,1,0,5,0,0,2

1,8,3,4,6,5,7,7,6,6,4,6,6,4
2,1,2,2,1,2,1,1,2,1,2,1,1,2
4,0,2,2,1,1,0,0,0,0,2,2,1,2

4,1,7,5,8,8,8,7,9,9,9,7,6,2
4,8,1,5,1,2,2,2,1,1,1,3,1,4
2,1,2,0,1,0,0,1,0,0,0,0,3,4

1,9,6,3,2,5,3,9,6,7,6,2,5,5
1,1,2,4,3,2,5,1,1,1,1,4,1,1
6,0,0,0,2,0,0,0,0,0,0,1,0,1

6,0,6,3,6,5,4,6,6,5,5,3,3,6
1,3,1,4,2,2,3,1,2,2,2,3,1,1
0,3,0,0,0,0,0,1,0,0,0,1,3,1

5,0,6,1,9,9,9,9,8,9,7,3,8,8
1,1,3,2,1,1,1,1,1,1,1,1,1,2
4,9,1,7,0,0,0,0,1,0,2,6,1,0

6,1,8,3,8,8,7,7,6,7,7,9,9,1
4,6,1,7,2,1,3,2,1,2,1,1,1,2
0,3,1,0,0,1,0,1,3,1,2,0,0,7

6,0,6,5,9,8,5,9,7,6,6,7,9,3
1,1,3,4,1,1,3,1,2,3,1,2,1,1
2,9,1,1,0,0,2,0,0,0,2,1,0,6

